episode,reward,success,duration,steps,total_steps,memory length,avg_critic_loss,avg_actor_loss
1,-7256.522109031677,2,20.97136546800175,1121,50351,50351,0.6243996024131775,1.996382594108581
2,-2597.2544491291046,2,16.199391551999724,465,50816,50816,0.9228143095970154,10.961562156677246
3,-1932.402889251709,2,12.54861233200063,346,51162,51162,0.7817161679267883,15.321813583374023
4,-1731.1204814910889,2,15.45142370600297,456,51618,51618,0.731178343296051,19.773178100585938
5,-1587.3601381778717,2,11.960426952999114,331,51949,51949,0.7639338374137878,24.147201538085938
6,-2096.4976255893707,2,14.799645695002257,394,52343,52343,0.7521129846572876,28.20783233642578
7,-1396.5430898666382,2,11.533048702000087,335,52678,52678,0.7719009518623352,32.34326171875
8,-4236.435038089752,2,14.686450263998267,442,53120,53120,0.8538596630096436,36.88565444946289
9,173.54901659488678,1,2.9054085570023744,80,53200,53200,0.8652586936950684,39.9880256652832
10,-1532.4247353076937,2,8.944583029002388,276,53476,53476,0.941531777381897,42.04628372192383
11,-1358.6058019399643,2,11.732182298001137,349,53825,53825,0.998786985874176,45.81156539916992
12,-1848.926614522934,2,13.064200261000224,376,54201,54201,1.0975236892700195,49.79927444458008
13,-1838.3725759983065,2,11.55007113100146,344,54545,54545,1.3490387201309204,54.03096771240234
14,-2226.119966983795,2,13.24252648699985,379,54924,54924,1.260120511054993,58.1103401184082
15,-1586.2019112110138,2,11.546602877999248,346,55270,55270,1.3478106260299685,62.18172073364258
16,-1924.460226774216,2,11.547325339000963,334,55604,55604,1.4679081439971924,66.22450256347656
17,177.80694043636322,1,4.354542109002068,79,55683,55683,1.5023751258850098,68.30230712890625
18,-1773.193054437637,2,10.35484088299927,306,55989,55989,1.6973806619644165,70.8534164428711
19,-1934.1329135894773,2,11.952311553999609,367,56356,56356,1.757321834564209,75.07123565673828
20,-2282.6125752925877,2,14.865515469999082,417,56773,56773,1.8906675577163696,79.68099212646484
21,-2126.2681727409363,2,11.965708160998474,342,57115,57115,2.01568603515625,83.70398712158203
22,-1916.7596381902692,2,15.254029766998428,444,57559,57559,2.0441460609436035,88.18981170654297
23,-7113.008326411247,4,53.63139823900201,1554,59113,59113,2.381587028503418,99.13600158691406
24,-5779.652536153793,4,55.994472955000674,1648,60761,60761,2.972798585891724,116.43148040771484
25,35.58395403623581,1,7.135785050999402,201,60962,60962,3.647919416427612,126.12823486328124
26,-4080.696684062481,1,44.97174373500093,1226,62188,62188,3.290436029434204,132.56996154785156
27,-5141.814206719399,4,53.53349311099737,1463,63651,63651,3.819891214370728,146.20481872558594
28,-6194.477721452713,2,50.551559262999945,1388,65039,65039,4.286900997161865,159.76913452148438
29,-2526.261984884739,2,15.754871012999502,402,65441,65441,4.389748573303223,169.17782592773438
30,-3935.8160271644592,2,19.56912796600227,521,65962,65962,4.462709903717041,174.47705078125
31,-3934.050342082977,2,18.775616099999752,542,66504,66504,5.011400699615479,180.2154693603516
32,-2412.8556699752808,2,13.551798012998916,387,66891,66891,5.196261882781982,186.09320068359372
33,-2761.5477340221405,2,17.403591189002327,511,67402,67402,5.631300926208496,190.20286560058597
34,-8500.065109729767,4,53.54571676999694,1504,68906,68906,5.882070541381836,201.05123901367188
35,-4752.295108914375,4,57.79206738399808,1635,70541,70541,6.078335285186768,215.31565856933597
36,-6235.153391242027,4,57.36596178800028,1647,72188,72188,6.505264759063721,229.8023223876953
