episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1201, -2052.3092855215073, 4, 16.730724474, 633, 1107903,                                             69290, 27.551565170288086, 465.3316650390625
1202, -5524.627430796623, 3, 29.61989510300009, 1034, 1108937,                                             70324, 25.928070068359375, 464.6630554199219
1203, -5812.944408893585, 3, 31.017083004000142, 1105, 1110042,                                             71429, 25.05677032470703, 463.1123352050781
1204, -1022.0995959043503, 1, 28.390618686999915, 1008, 1111050,                                             72437, 24.577035903930664, 464.5849914550781
1205, -7374.085071861744, 4, 57.01052923499992, 2006, 1113056,                                             74443, 24.59944725036621, 467.4667053222656
1206, -4615.269028365612, 3, 22.574979269999858, 797, 1113853,                                             75240, 25.01267433166504, 468.6798095703125
1207, -7915.061699986458, 4, 56.38876283499985, 2008, 1115861,                                             77248, 25.77123260498047, 471.36602783203125
1208, -6482.156004667282, 3, 35.94822081100028, 1274, 1117135,                                             78522, 26.235212326049805, 473.4550476074219
1209, -6607.239224553108, 4, 56.90282396600014, 2031, 1119166,                                             80553, 26.737560272216797, 475.6208801269531
1210, -4457.219272375107, 3, 24.668107372000122, 877, 1120043,                                             81430, 27.436304092407227, 477.8695983886719
1211, -4342.6354867219925, 3, 22.176506125999822, 722, 1120765,                                             82152, 27.56991195678711, 479.69927978515625
1212, -4372.021544575691, 2, 15.951729899999918, 564, 1121329,                                             82716, 27.39034652709961, 479.9808349609375
1213, -5054.919991970062, 3, 23.986424677000286, 851, 1122180,                                             83567, 28.060747146606445, 481.78509521484375
1214, -6796.500283241272, 3, 35.33956030499985, 1256, 1123436,                                             84823, 28.733606338500977, 483.3572998046875
1215, -5323.657795071602, 3, 25.750357257999895, 909, 1124345,                                             85732, 28.70584487915039, 483.8484191894531
1216, -7749.886429548264, 2, 49.74306099899968, 1773, 1126118,                                             87505, 29.56382179260254, 485.4753112792969
1217, -6896.660429477692, 3, 32.7198478549999, 1149, 1127267,                                             88654, 30.225202560424805, 487.2618713378906
1218, -8863.48209142685, 3, 39.37269081700015, 1381, 1128648,                                             90035, 30.51932716369629, 487.97882080078125
1219, -4576.708909869194, 3, 19.568346640000073, 691, 1129339,                                             90726, 30.954256057739258, 490.6891784667969
1220, -1822.2400568723679, 1, 38.8080922449999, 1368, 1130707,                                             92094, 30.633081436157227, 489.474365234375
1221, -6840.749205470085, 3, 46.323496693999914, 1637, 1132344,                                             93731, 30.53879737854004, 488.8788146972656
