episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2801, 2484.82047753036, 1, 2.082124921000002, 55, 2492654,                                             1000000, 31.310043334960938, 451.1763916015625
2802, -4368.7182359695435, 3, 19.357755543999986, 675, 2493329,                                             1000000, 28.324970245361328, 443.4092102050781
2803, -5841.641436934471, 4, 49.853207801999986, 1766, 2495095,                                             1000000, 28.26712989807129, 442.63299560546875
2804, -6407.678695321083, 4, 50.23145452599999, 1768, 2496863,                                             1000000, 28.408477783203125, 441.06219482421875
2805, -4661.417442321777, 3, 19.356018198000015, 686, 2497549,                                             1000000, 28.084205627441406, 440.639404296875
2806, -5326.201943635941, 3, 26.580197465000026, 941, 2498490,                                             1000000, 28.30122947692871, 440.2290344238281
2807, -4563.735244512558, 3, 19.759988332999967, 698, 2499188,                                             1000000, 28.213865280151367, 438.97784423828125
2808, -4983.932474255562, 2, 24.575166076000016, 873, 2500061,                                             1000000, 27.941753387451172, 439.572998046875
2809, -6006.663761854172, 3, 30.792328757999996, 1095, 2501156,                                             1000000, 28.29483413696289, 439.82452392578125
2810, -4514.881957888603, 3, 21.956339480999986, 765, 2501921,                                             1000000, 28.563419342041016, 439.4378967285156
2811, -4337.579313337803, 3, 21.981882017999965, 772, 2502693,                                             1000000, 27.741947174072266, 439.04339599609375
2812, -5655.856864333153, 3, 28.182798804000015, 994, 2503687,                                             1000000, 28.172197341918945, 437.77001953125
2813, -4433.335402607918, 3, 21.163820877000035, 737, 2504424,                                             1000000, 28.399221420288086, 439.8367614746094
2814, -4802.245005249977, 3, 22.56619418699995, 792, 2505216,                                             1000000, 28.041641235351562, 439.8857727050781
2815, -5374.775861501694, 4, 49.63437253300003, 1760, 2506976,                                             1000000, 28.51387596130371, 439.66107177734375
2816, -5317.541939616203, 3, 26.980640460999894, 947, 2507923,                                             1000000, 28.350475311279297, 439.7474060058594
2817, -5368.873547017574, 4, 50.03065937100007, 1759, 2509682,                                             1000000, 28.333114624023438, 438.5585632324219
2818, -4393.953817367554, 3, 20.167091615000004, 707, 2510389,                                             1000000, 28.13501739501953, 438.22918701171875
2819, -6325.384625613689, 4, 49.84481209399996, 1763, 2512152,                                             1000000, 28.304141998291016, 440.12493896484375
2820, -7170.745139479637, 2, 38.192555803000005, 1342, 2513494,                                             1000000, 28.063600540161133, 438.46368408203125
2821, -5366.385938644409, 3, 28.58071208299998, 1013, 2514507,                                             1000000, 27.993932723999023, 437.7347717285156
2822, -5433.72492903471, 3, 27.571623604000024, 948, 2515455,                                             1000000, 27.6555118560791, 437.34454345703125
2823, -6634.600794136524, 4, 50.43629854599999, 1804, 2517259,                                             1000000, 28.176252365112305, 437.9051513671875
2824, -4116.386049032211, 3, 19.362971965999918, 677, 2517936,                                             1000000, 28.026933670043945, 439.5308837890625
2825, -5210.787791132927, 3, 28.981036070000073, 1025, 2518961,                                             1000000, 28.387149810791016, 439.0512390136719
2826, -6912.28800535202, 3, 35.38444875899995, 1240, 2520201,                                             1000000, 28.130916595458984, 437.19683837890625
2827, -5205.002463042736, 2, 27.38388056200006, 969, 2521170,                                             1000000, 27.523239135742188, 436.8981018066406
2828, -3541.8173152804375, 2, 13.532487618999994, 469, 2521639,                                             1000000, 27.256208419799805, 437.9552001953125
2829, -5603.2253650426865, 3, 28.585900373999948, 1011, 2522650,                                             1000000, 28.206340789794922, 438.1164855957031
2830, -5297.374628186226, 3, 31.58156273999998, 1074, 2523724,                                             1000000, 28.07841682434082, 438.9078063964844
2831, -5623.856632709503, 2, 27.92318271000022, 977, 2524701,                                             1000000, 27.924131393432617, 438.04132080078125
2832, -6116.227493524551, 4, 50.64415054300002, 1800, 2526501,                                             1000000, 27.940933227539062, 438.33209228515625
2833, -965.583122253418, 1, 33.802617945000065, 1198, 2527699,                                             1000000, 28.22442054748535, 438.94329833984375
2834, -3057.9808192253113, 2, 3.5056037150000066, 114, 2527813,                                             1000000, 27.64336585998535, 437.8393859863281
2835, -3647.207266807556, 2, 14.956342177999886, 525, 2528338,                                             1000000, 28.43533706665039, 437.2438659667969
2836, -5192.1928861141205, 3, 27.371862010000086, 954, 2529292,                                             1000000, 27.981332778930664, 436.5008239746094
2837, -5260.523742139339, 3, 26.580718008000076, 939, 2530231,                                             1000000, 27.953763961791992, 436.8327331542969
2838, -6438.726767420769, 4, 49.83003319599993, 1752, 2531983,                                             1000000, 27.994470596313477, 437.3636169433594
2839, -6227.505922496319, 4, 50.83128371399994, 1784, 2533767,                                             1000000, 27.803077697753906, 436.206298828125
2840, -5574.666856050491, 3, 27.583760831999825, 973, 2534740,                                             1000000, 28.06599998474121, 434.7023010253906
2841, -5136.112589478493, 4, 49.98843744100009, 1748, 2536488,                                             1000000, 28.065589904785156, 435.3471374511719
2842, -5414.084311127663, 2, 28.16639503400006, 979, 2537467,                                             1000000, 28.21822166442871, 434.49365234375
2843, -3487.9290858507156, 1, 39.61358171100005, 1388, 2538855,                                             1000000, 27.787874221801758, 434.98370361328125
2844, -6491.486935317516, 3, 34.584642064000036, 1215, 2540070,                                             1000000, 27.347640991210938, 433.2475891113281
2845, -5649.712622046471, 3, 27.79032565300008, 977, 2541047,                                             1000000, 26.818601608276367, 433.29376220703125
2846, -6611.746588110924, 3, 26.161067256000024, 911, 2541958,                                             1000000, 27.244346618652344, 433.42950439453125
2847, -5122.777489840984, 3, 25.976203908000116, 911, 2542869,                                             1000000, 27.255477905273438, 433.5963134765625
2848, -4694.2732964754105, 3, 21.770836111000108, 756, 2543625,                                             1000000, 27.300378799438477, 431.94305419921875
2849, -7378.677795231342, 4, 49.831959635999965, 1744, 2545369,                                             1000000, 27.3157901763916, 432.4641418457031
2850, -5266.787083745003, 2, 31.598616708999998, 1117, 2546486,                                             1000000, 27.754343032836914, 433.00872802734375
2851, 2363.1319250762463, 1, 4.275621734999959, 140, 2546626,                                             1000000, 26.84880256652832, 430.5230712890625
2852, -3857.839010834694, 3, 16.555427648999967, 580, 2547206,                                             1000000, 27.558042526245117, 432.7850341796875
2853, -5608.152121782303, 2, 32.79743943299991, 1150, 2548356,                                             1000000, 27.116973876953125, 433.1977844238281
2854, -4181.669933438301, 3, 17.759764512999936, 619, 2548975,                                             1000000, 27.08303451538086, 431.09222412109375
2855, 2363.0381006598473, 1, 4.309783310000057, 143, 2549118,                                             1000000, 25.611087799072266, 426.9366760253906
2856, -4686.141112327576, 3, 19.768264993000003, 694, 2549812,                                             1000000, 27.498727798461914, 432.9922180175781
2857, -5599.719492316246, 3, 22.568953325000166, 791, 2550603,                                             1000000, 26.748859405517578, 431.3422546386719
2858, -5481.216342687607, 3, 29.778959556000018, 1044, 2551647,                                             1000000, 27.0534725189209, 433.4617919921875
2859, -5850.493090748787, 4, 50.43966568399992, 1773, 2553420,                                             1000000, 26.745258331298828, 431.3233337402344
2860, -5043.778625011444, 4, 49.84484403700003, 1743, 2555163,                                             1000000, 26.839101791381836, 431.5238342285156
2861, -5173.062152266502, 2, 28.129346166000232, 971, 2556134,                                             1000000, 27.015310287475586, 432.2987060546875
2862, -4106.539004445076, 3, 19.96513959699996, 698, 2556832,                                             1000000, 26.635353088378906, 431.94744873046875
2863, -5287.95222902298, 3, 21.96910774099979, 768, 2557600,                                             1000000, 26.33092498779297, 430.3563232421875
2864, -7254.549978733063, 4, 49.64119102099994, 1756, 2559356,                                             1000000, 26.848215103149414, 431.02008056640625
2865, -3197.600723028183, 2, 6.9182205209999665, 231, 2559587,                                             1000000, 26.976621627807617, 429.0393981933594
2866, -5373.617174267769, 4, 49.83473405900031, 1755, 2561342,                                             1000000, 27.71689796447754, 431.7176513671875
2867, -6200.491283297539, 4, 50.025550935999945, 1760, 2563102,                                             1000000, 27.16339874267578, 430.90008544921875
2868, -5472.296089053154, 4, 50.44322844299995, 1776, 2564878,                                             1000000, 27.479618072509766, 431.5891418457031
2869, -5150.359508633614, 3, 24.77460664399996, 874, 2565752,                                             1000000, 27.382009506225586, 430.11090087890625
2870, -5966.205735206604, 3, 32.181711922999966, 1121, 2566873,                                             1000000, 27.455833435058594, 430.38751220703125
2871, -5406.710162997246, 3, 29.702391970000008, 1038, 2567911,                                             1000000, 26.95484161376953, 431.20245361328125
2872, -3620.5618035793304, 2, 7.720287986999665, 264, 2568175,                                             1000000, 26.48149299621582, 429.3712463378906
2873, -4551.386028647423, 3, 20.56291622799972, 716, 2568891,                                             1000000, 27.359806060791016, 430.38970947265625
2874, -5552.151588916779, 3, 34.386610918000315, 1199, 2570090,                                             1000000, 26.923229217529297, 429.3863525390625
2875, -4503.581061959267, 3, 20.56164094499991, 724, 2570814,                                             1000000, 26.9697208404541, 431.4790954589844
2876, -5562.328415513039, 4, 49.64046810100035, 1746, 2572560,                                             1000000, 26.832746505737305, 429.1833190917969
