episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1201, 2468.829803928733, 1, 1.9745332910000002, 95, 1107365,                                             95, 0.0, 0.0
1202, -9113.12613761425, 2, 21.335816949999995, 1361, 1108726,                                             1456, 0.0, 0.0
1203, -8205.882405102253, 2, 17.959178707000007, 1173, 1109899,                                             2629, 0.0, 0.0
1204, -10344.366675138474, 2, 19.698492053000024, 1356, 1111255,                                             3985, 0.0, 0.0
1205, -6618.510067462921, 2, 20.306733380000026, 1350, 1112605,                                             5335, 0.0, 0.0
1206, -7959.728769540787, 2, 15.334248567999992, 1012, 1113617,                                             6347, 0.0, 0.0
1207, -6663.60919213295, 2, 13.817087936999997, 925, 1114542,                                             7272, 0.0, 0.0
1208, -5589.672356188297, 2, 17.354132219999997, 1143, 1115685,                                             8415, 0.0, 0.0
1209, -9024.20150566101, 2, 18.25261452699999, 1176, 1116861,                                             9591, 0.0, 0.0
1210, -7301.143796622753, 2, 16.162710049999987, 1082, 1117943,                                             10673, 0.0, 0.0
