episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7987.942064523697, 2, 30.92265998900075, 1334, 50705,                                             50705, 0.8156955242156982, 4.383120536804199
2, -3044.3389954566956, 2, 18.917406938000568, 564, 51269,                                             51269, 0.894402265548706, 15.168283462524414
3, -1905.4206150770187, 2, 11.94329703800031, 359, 51628,                                             51628, 0.8298261761665344, 20.419645309448242
4, -3023.9446239471436, 2, 17.10411442199984, 544, 52172,                                             52172, 0.9100098013877869, 25.76911163330078
5, 213.716710627079, 1, 1.3053787519984326, 30, 52202,                                             52202, 0.7884024977684021, 29.044761657714844
6, -1488.4335944652557, 2, 10.745128811999166, 348, 52550,                                             52550, 0.897106945514679, 31.364925384521484
7, 205.97957849502563, 1, 1.2605670200009627, 30, 52580,                                             52580, 0.9588999152183533, 34.080238342285156
8, -1936.2155151367188, 2, 12.824002925999594, 388, 52968,                                             52968, 0.9407181143760681, 35.878108978271484
9, -1565.9591450691223, 2, 11.347623827999996, 334, 53302,                                             53302, 1.0908483266830444, 40.3707160949707
10, -1111.3266270160675, 2, 11.48469451299934, 297, 53599,                                             53599, 1.0438709259033203, 43.73778533935547
11, -1559.3297114372253, 2, 16.38197424899954, 473, 54072,                                             54072, 1.1590824127197266, 48.1429557800293
12, -1870.5672051906586, 2, 11.483958737999274, 336, 54408,                                             54408, 1.2699594497680664, 52.70328903198242
13, -1668.298994421959, 2, 16.172421319999557, 487, 54895,                                             54895, 1.335773229598999, 57.37633514404297
14, -2064.348320007324, 2, 11.3304911489995, 341, 55236,                                             55236, 1.519177794456482, 62.2796745300293
15, 10.378638088703156, 1, 6.733639084999595, 201, 55437,                                             55437, 1.7294028997421265, 65.37234497070312
16, -1552.0424435138702, 2, 9.87428408300002, 259, 55696,                                             55696, 1.6440941095352173, 67.47518157958984
17, -1302.510556936264, 2, 11.552174463000483, 328, 56024,                                             56024, 1.7886149883270264, 71.06070709228516
18, -1876.8978536128998, 2, 11.305904634999024, 328, 56352,                                             56352, 1.9464359283447266, 74.25527954101562
19, 202.97082912921906, 1, 3.4155010510003194, 30, 56382,                                             56382, 2.041788101196289, 76.94850158691406
20, -1398.413075208664, 2, 12.265012134999779, 262, 56644,                                             56644, 2.0132827758789062, 78.56804656982422
21, -1781.0347995758057, 2, 11.423943394000162, 318, 56962,                                             56962, 2.1075592041015625, 81.23555755615234
22, -1820.603776216507, 2, 16.686366210000415, 426, 57388,                                             57388, 2.388681173324585, 85.90679931640625
23, -1131.8483703136444, 2, 11.555107014999521, 298, 57686,                                             57686, 2.335292339324951, 89.525390625
24, -2047.8905262947083, 2, 16.45987726199928, 395, 58081,                                             58081, 2.7046828269958496, 93.89250183105469
25, -1347.1077820062637, 2, 11.75689014099953, 298, 58379,                                             58379, 2.7408647537231445, 97.30160522460938
26, -2328.9016535282135, 2, 16.72571795299882, 428, 58807,                                             58807, 2.844913959503174, 102.23617553710938
27, -1097.3498513698578, 2, 11.954856846999974, 183, 58990,                                             58990, 3.124467134475708, 105.18914031982422
28, -4903.247365236282, 2, 16.93558266099899, 449, 59439,                                             59439, 3.2701306343078613, 109.3873519897461
29, 86.87506812810898, 1, 6.941524354999274, 149, 59588,                                             59588, 3.3690381050109863, 113.58411407470703
30, -3843.60599565506, 2, 25.25009104399942, 753, 60341,                                             60341, 3.5823068618774414, 118.27652740478516
31, -1662.5513890981674, 2, 13.52690253000037, 352, 60693,                                             60693, 4.023534297943115, 125.47537231445312
32, -2082.1250121593475, 2, 16.727031706999696, 402, 61095,                                             61095, 3.795728921890259, 129.25872802734375
33, -1707.2831764221191, 2, 11.948984847000247, 289, 61384,                                             61384, 4.15958309173584, 133.1863555908203
34, -4021.8365700244904, 2, 16.74964068599911, 399, 61783,                                             61783, 4.164106845855713, 137.05543518066406
35, -2060.698408603668, 2, 11.754761213000165, 316, 62099,                                             62099, 4.460352897644043, 142.746337890625
36, -1499.8405039310455, 2, 12.332746006999514, 293, 62392,                                             62392, 4.603484153747559, 145.7150115966797
37, -2481.901337623596, 2, 17.320497897999303, 417, 62809,                                             62809, 5.049478530883789, 149.56076049804688
38, -1836.355409502983, 1, 22.635238123999443, 581, 63390,                                             63390, 4.974888801574707, 155.244384765625
39, -1326.1300666332245, 2, 11.561798225999155, 252, 63642,                                             63642, 5.339882850646973, 159.93511962890625
40, -6095.4700919389725, 4, 57.280166352999004, 1204, 64846,                                             64846, 5.435822010040283, 167.81443786621094
41, -1554.7314022779465, 2, 12.699742808999872, 291, 65137,                                             65137, 5.996133804321289, 175.97225952148438
42, 61.03113812208176, 1, 8.595314655000038, 193, 65330,                                             65330, 5.840456485748291, 178.64944458007812
43, -967.3430633544922, 2, 6.321198293000634, 111, 65441,                                             65441, 6.237106800079346, 179.77224731445312
44, -1638.9301046133041, 2, 13.560516565999933, 287, 65728,                                             65728, 6.237522125244141, 181.9172821044922
45, -2626.22181725502, 2, 17.749816244999238, 404, 66132,                                             66132, 6.356075286865234, 186.85171508789062
46, -1560.3593175411224, 2, 11.951620568999715, 284, 66416,                                             66416, 6.514026641845703, 188.70362854003906
47, -2503.2050807476044, 2, 16.899618256000394, 418, 66834,                                             66834, 6.902083396911621, 192.7917022705078
48, -529.7328536510468, 1, 14.96021634600038, 360, 67194,                                             67194, 7.046889781951904, 198.9525146484375
49, -407.79206824302673, 1, 18.519701355000507, 453, 67647,                                             67647, 7.003398418426514, 202.48326110839844
50, -4066.087263584137, 2, 46.78210639400095, 1126, 68773,                                             68773, 7.320462703704834, 209.3392333984375
51, -3211.869820743799, 1, 43.736515145999874, 1062, 69835,                                             69835, 8.093013763427734, 219.4265594482422
52, -306.8299207985401, 1, 13.336295913000868, 343, 70178,                                             70178, 7.914752960205078, 226.8675079345703
53, -3811.2430945038795, 4, 57.26382120699964, 1473, 71651,                                             71651, 8.424257278442383, 234.25531005859375
54, -4183.782641410828, 4, 57.30559317500047, 1449, 73100,                                             73100, 8.662385940551758, 246.99424743652344
55, -4303.167056441307, 4, 52.32911353899908, 1347, 74447,                                             74447, 9.144140243530273, 258.0891418457031
56, -4571.800549030304, 4, 59.978746945998864, 1560, 76007,                                             76007, 9.624690055847168, 269.02960205078125
57, -7404.452210307121, 4, 58.01765156700094, 1564, 77571,                                             77571, 10.017982482910156, 280.5710144042969
58, -4370.581256389618, 4, 54.81429446199945, 1503, 79074,                                             79074, 10.673133850097656, 292.3475646972656
59, -2539.4225800037384, 2, 17.776511576999837, 463, 79537,                                             79537, 10.910264015197754, 298.49041748046875
60, -6722.01542699337, 4, 60.18102500799978, 1635, 81172,                                             81172, 11.33258056640625, 308.0776062011719
61, -1279.0829500555992, 1, 25.910888791000616, 707, 81879,                                             81879, 11.5272216796875, 313.6462707519531
62, -4869.697745800018, 4, 54.48928334199991, 1550, 83429,                                             83429, 12.252054214477539, 322.8891296386719
63, 62.56405448913574, 1, 4.7120385369998985, 134, 83563,                                             83563, 11.968884468078613, 325.7785949707031
64, -1285.6029324233532, 1, 22.99095339499945, 627, 84190,                                             84190, 12.761092185974121, 330.35205078125
65, -3784.6034380197525, 4, 55.00570475600034, 1492, 85682,                                             85682, 12.30932331085205, 334.33135986328125
66, -5598.284482836723, 4, 59.142549146999954, 1569, 87251,                                             87251, 13.318071365356445, 342.32452392578125
67, 164.3356693983078, 1, 1.501729265000904, 30, 87281,                                             87281, 11.970044136047363, 344.6515808105469
68, -4141.797681212425, 4, 54.890038796000226, 1250, 88531,                                             88531, 13.282723426818848, 349.89117431640625
69, -826.2842745184898, 1, 22.074195821000103, 463, 88994,                                             88994, 13.315282821655273, 354.16619873046875
70, -3123.2126376628876, 4, 54.83905347200016, 1169, 90163,                                             90163, 13.57052230834961, 357.00830078125
71, -274.4357916712761, 1, 13.11870754499978, 275, 90438,                                             90438, 12.843497276306152, 359.0527648925781
72, -3053.234375536442, 4, 57.681008620000284, 1188, 91626,                                             91626, 13.361124038696289, 361.65081787109375
73, -4024.0567115545273, 4, 60.24155913600043, 1310, 92936,                                             92936, 13.54207992553711, 366.7112731933594
74, -3981.0327265262604, 4, 59.02637868000056, 1225, 94161,                                             94161, 13.981135368347168, 371.22283935546875
75, -1309.9996061623096, 1, 30.744889433000935, 621, 94782,                                             94782, 14.28964900970459, 375.8183288574219
76, -3557.387808561325, 4, 60.41131230500105, 1264, 96046,                                             96046, 14.01687240600586, 377.3138732910156
