episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
401, 2485.661692664027, 1, 2.0437319479999587, 50, 399192,                                             399192, 31.55926513671875, 488.4988708496094
402, -5030.51655125618, 3, 19.847075187999963, 693, 399885,                                             399885, 28.862356185913086, 482.9403076171875
403, -8113.966792345047, 4, 50.02871793899999, 1787, 401672,                                             401672, 28.899152755737305, 479.5817565917969
404, -6980.329275369644, 3, 35.785162866000064, 1280, 402952,                                             402952, 29.203044891357422, 481.81732177734375
405, 2063.328996837139, 1, 9.124069372999998, 305, 403257,                                             403257, 29.343826293945312, 481.19866943359375
406, -2642.260054707527, 2, 3.324995068999897, 120, 403377,                                             403377, 29.533367156982422, 485.3942565917969
407, -4108.052734494209, 3, 16.756978505000006, 604, 403981,                                             403981, 29.330059051513672, 480.4420471191406
408, 2362.7371374964714, 1, 4.3123660459999655, 118, 404099,                                             404099, 31.03888702392578, 480.2381286621094
409, -5853.835397660732, 4, 50.24104114499994, 1544, 405643,                                             405643, 29.19510841369629, 480.029052734375
410, -6178.023314714432, 4, 49.85347100000001, 1635, 407278,                                             407278, 29.350826263427734, 480.51318359375
411, -4024.1078042387962, 3, 19.439265357000068, 617, 407895,                                             407895, 30.254131317138672, 480.7095947265625
412, -6234.6964199543, 4, 50.639155956000195, 1626, 409521,                                             409521, 29.138261795043945, 479.92919921875
413, -6005.640613555908, 4, 50.02386850799985, 1594, 411115,                                             411115, 29.237186431884766, 479.6058654785156
414, 2311.663333773613, 1, 4.727368229999911, 147, 411262,                                             411262, 27.452051162719727, 480.70025634765625
415, -5479.973685264587, 4, 50.83219255800009, 1618, 412880,                                             412880, 28.83880615234375, 476.97418212890625
416, 2397.6150112748146, 1, 4.130196563000027, 136, 413016,                                             413016, 28.484451293945312, 476.40966796875
417, -2964.502133131027, 2, 3.5089673940001376, 108, 413124,                                             413124, 27.078245162963867, 472.7967224121094
418, -5286.558839440346, 3, 27.18026642299992, 931, 414055,                                             414055, 28.179012298583984, 475.5830383300781
419, -7960.11173248291, 4, 50.02229936699996, 1781, 415836,                                             415836, 28.195537567138672, 474.34625244140625
420, -6253.348157227039, 4, 50.03154217100018, 1774, 417610,                                             417610, 28.299211502075195, 474.3411560058594
421, -5743.221974611282, 3, 32.44731358700005, 1210, 418820,                                             418820, 27.768674850463867, 474.1076354980469
422, -4921.396507024765, 3, 22.372516447999942, 826, 419646,                                             419646, 27.60368537902832, 471.9223937988281
423, -6130.769962072372, 4, 49.83261652400006, 1529, 421175,                                             421175, 27.44483757019043, 472.13720703125
424, -5104.086614727974, 2, 24.964981984000133, 874, 422049,                                             422049, 26.985849380493164, 471.4378967285156
425, -3043.2063053250313, 2, 7.721510635999948, 271, 422320,                                             422320, 27.1425838470459, 469.6878967285156
426, -4072.053387284279, 2, 12.544265937999853, 464, 422784,                                             422784, 27.72469711303711, 471.8831481933594
427, -5171.504682064056, 2, 29.589342922000014, 909, 423693,                                             423693, 27.298460006713867, 472.51953125
428, -6171.836127638817, 3, 28.383964388999857, 876, 424569,                                             424569, 27.401111602783203, 472.4050598144531
429, -5868.754592180252, 4, 49.647858026999984, 1545, 426114,                                             426114, 27.681875228881836, 472.228515625
430, -5142.571375250816, 3, 27.390721256000006, 871, 426985,                                             426985, 28.09729766845703, 473.37451171875
431, -4952.990489542484, 3, 33.94422406400008, 1003, 427988,                                             427988, 27.328062057495117, 471.10504150390625
432, -4654.408279538155, 3, 26.389692908999905, 786, 428774,                                             428774, 27.290088653564453, 470.7058410644531
433, -5196.979895114899, 3, 32.80104587599999, 967, 429741,                                             429741, 27.688119888305664, 470.4521484375
434, -5497.416695475578, 3, 32.20384341599993, 1002, 430743,                                             430743, 28.27102279663086, 473.33001708984375
435, -3550.468876004219, 3, 10.128302046000044, 304, 431047,                                             431047, 26.230955123901367, 469.0790100097656
436, -6912.387993216515, 4, 50.031799383000134, 1595, 432642,                                             432642, 28.358989715576172, 473.2745056152344
437, -5839.107622623444, 3, 34.20575805400017, 1185, 433827,                                             433827, 28.115713119506836, 471.3865966796875
438, -3958.4801721572876, 3, 18.17207237799994, 463, 434290,                                             434290, 27.551912307739258, 473.5230712890625
439, -5140.08747947216, 3, 24.177139790999945, 889, 435179,                                             435179, 27.95156478881836, 472.904541015625
440, -4861.468549966812, 2, 27.171325917000104, 838, 436017,                                             436017, 27.97487449645996, 471.1792297363281
441, -5560.86504805088, 3, 27.185542423000015, 936, 436953,                                             436953, 28.13606071472168, 471.79400634765625
442, -5479.337704002857, 4, 49.82503987700011, 1780, 438733,                                             438733, 28.25324821472168, 471.85345458984375
443, -5302.346645593643, 3, 25.37378541199996, 937, 439670,                                             439670, 28.158111572265625, 470.7919616699219
444, -3920.386742949486, 2, 13.740069162999816, 495, 440165,                                             440165, 28.0943660736084, 471.862548828125
445, -3143.508767724037, 2, 8.742701553000188, 317, 440482,                                             440482, 27.470842361450195, 470.0885314941406
446, -5704.192274808884, 4, 49.830016632000024, 1725, 442207,                                             442207, 28.167558670043945, 470.998046875
447, -4028.592527985573, 3, 18.368888405000234, 570, 442777,                                             442777, 28.137754440307617, 471.7604675292969
448, -6279.681823134422, 4, 50.03531408900017, 1820, 444597,                                             444597, 28.393688201904297, 472.649169921875
449, -4432.043898224831, 3, 19.567274075000114, 712, 445309,                                             445309, 28.338756561279297, 472.59576416015625
450, -5025.020691514015, 3, 19.352143279999837, 704, 446013,                                             446013, 28.138580322265625, 474.92999267578125
451, -5560.506846547127, 3, 27.367687791000208, 991, 447004,                                             447004, 28.10324478149414, 472.4700012207031
452, -5141.554194569588, 3, 24.175294462999773, 884, 447888,                                             447888, 28.35029411315918, 472.64337158203125
453, -5039.319493293762, 4, 49.83976137899981, 1568, 449456,                                             449456, 28.711231231689453, 473.0722351074219
454, -5108.963990628719, 2, 32.57068272400011, 1004, 450460,                                             450460, 28.24332618713379, 472.0444030761719
455, -7046.819992303848, 3, 35.79576504899978, 1131, 451591,                                             451591, 28.163955688476562, 473.46136474609375
456, -8005.31536012888, 2, 36.60631149500023, 1343, 452934,                                             452934, 28.457500457763672, 472.26123046875
457, -6547.965527951717, 2, 25.971112992000144, 942, 453876,                                             453876, 28.33946418762207, 470.553466796875
458, -5727.370769560337, 2, 29.189044875000036, 1061, 454937,                                             454937, 27.898563385009766, 470.2911682128906
459, -2955.5717611312866, 2, 5.312276943000143, 182, 455119,                                             455119, 27.611387252807617, 469.31494140625
460, -5941.217558145523, 3, 30.176051847000053, 1070, 456189,                                             456189, 28.04319190979004, 471.664794921875
461, -5158.299648761749, 3, 24.98543645599966, 887, 457076,                                             457076, 27.89441680908203, 473.7550048828125
462, -4512.118876218796, 3, 20.554452300999856, 744, 457820,                                             457820, 27.83724021911621, 471.67926025390625
463, -5938.8314599990845, 4, 50.65714822400014, 1859, 459679,                                             459679, 28.314542770385742, 474.08209228515625
464, -6779.19417822361, 3, 33.18741652299968, 981, 460660,                                             460660, 28.640871047973633, 474.346435546875
465, -4976.891137003899, 4, 49.850072458999875, 1545, 462205,                                             462205, 28.861083984375, 473.9518127441406
466, -4730.881921112537, 4, 49.82755337499975, 1541, 463746,                                             463746, 28.67130470275879, 474.2814636230469
467, -5339.110669136047, 3, 26.567773538999973, 908, 464654,                                             464654, 28.698528289794922, 472.9880676269531
468, -4514.361802458763, 4, 49.856008097000085, 1521, 466175,                                             466175, 28.639192581176758, 473.513427734375
469, -5054.279475450516, 3, 27.168488189000072, 831, 467006,                                             467006, 28.309690475463867, 473.9407043457031
470, -4741.795415639877, 3, 24.781500006999977, 768, 467774,                                             467774, 28.2386417388916, 473.8497314453125
471, -5488.652685403824, 3, 27.971482270999786, 861, 468635,                                             468635, 28.78632164001465, 473.11517333984375
472, -6270.397264122963, 2, 36.59181613800001, 1331, 469966,                                             469966, 28.479734420776367, 471.47454833984375
473, -6760.966750025749, 2, 27.977790630000072, 1014, 470980,                                             470980, 28.956571578979492, 473.4958190917969
474, -5123.228510379791, 2, 27.579780403999848, 1003, 471983,                                             471983, 28.38631248474121, 471.383544921875
475, -7171.359538197517, 4, 49.643291005000265, 1788, 473771,                                             473771, 28.138233184814453, 472.00909423828125
476, -4615.0650857687, 3, 27.775534468999922, 732, 474503,                                             474503, 28.153562545776367, 471.8514404296875
477, -4258.232037723064, 3, 20.764481237999917, 617, 475120,                                             475120, 28.938060760498047, 471.2376403808594
478, -6644.887033343315, 2, 26.770942082000147, 973, 476093,                                             476093, 28.527402877807617, 473.1856384277344
479, -6979.557458758354, 2, 34.8092800710001, 1055, 477148,                                             477148, 28.699819564819336, 472.35357666015625
480, -5067.174700021744, 4, 50.0325972630003, 1458, 478606,                                             478606, 28.604965209960938, 471.71875
481, 1489.8446473181248, 1, 13.133214894000048, 369, 478975,                                             478975, 28.938810348510742, 475.20965576171875
482, -2832.7183471918106, 3, 7.318300368000109, 221, 479196,                                             479196, 28.409469604492188, 472.4952392578125
483, -4900.880902647972, 4, 50.44996388499976, 1520, 480716,                                             480716, 28.80671501159668, 473.1593322753906
484, -6946.562819600105, 4, 50.02008569899999, 1515, 482231,                                             482231, 28.66618537902832, 472.48675537109375
485, -4565.312043070793, 3, 26.585282231000292, 720, 482951,                                             482951, 28.520946502685547, 473.1536865234375
486, -5836.220487892628, 4, 49.83282580099967, 1796, 484747,                                             484747, 28.683982849121094, 472.6584777832031
487, -6400.475598931313, 4, 49.82261649899965, 1814, 486561,                                             486561, 29.162704467773438, 472.98284912109375
