episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -1718.0780346542597, 2, 26.17749389000005, 1992, 50169,                                             50169, 0.024262232705950737, -0.12905888259410858
2, -570.1405584067106, 2, 22.33138927799996, 732, 50901,                                             50901, 0.22679248452186584, -0.931826651096344
3, -412.3929998204112, 2, 21.37015549499995, 638, 51539,                                             51539, 0.21324674785137177, 0.49663862586021423
4, -343.2218173146248, 2, 20.150193411000032, 613, 52152,                                             52152, 0.2156233936548233, 1.776810646057129
5, -379.0954557955265, 2, 20.75650831200005, 632, 52784,                                             52784, 0.22435398399829865, 3.055941343307495
6, -465.25386922061443, 2, 29.794187491999992, 918, 53702,                                             53702, 0.2092801034450531, 4.647261142730713
7, -439.87341828644276, 2, 29.96958951099998, 917, 54619,                                             54619, 0.21151001751422882, 6.5104780197143555
8, -586.1286800801754, 2, 36.40030131499998, 1101, 55720,                                             55720, 0.20778340101242065, 8.494917869567871
9, -601.819099009037, 2, 36.79085237100003, 1137, 56857,                                             56857, 0.22373978793621063, 10.59565258026123
10, -339.10901717841625, 2, 17.559467685999948, 579, 57436,                                             57436, 0.21500977873802185, 12.165396690368652
11, -161.5124968327582, 2, 15.071318431000009, 490, 57926,                                             57926, 0.2271140068769455, 13.096613883972168
12, -325.61413066089153, 2, 17.95446515499998, 569, 58495,                                             58495, 0.22211189568042755, 14.002811431884766
13, -224.81365744769573, 2, 14.334694912000032, 485, 58980,                                             58980, 0.22721320390701294, 14.891444206237793
14, -306.59719429165125, 2, 18.357287860999804, 628, 59608,                                             59608, 0.23024533689022064, 15.795854568481445
15, -236.1781311929226, 2, 17.14318747199991, 581, 60189,                                             60189, 0.22895973920822144, 16.779582977294922
16, -207.32345712929964, 2, 13.135619243999827, 445, 60634,                                             60634, 0.2329728752374649, 17.591896057128906
17, -241.06719183921814, 2, 13.75147188699998, 470, 61104,                                             61104, 0.23806533217430115, 18.269601821899414
18, -157.5857405513525, 2, 12.350887545000205, 424, 61528,                                             61528, 0.23097260296344757, 18.948810577392578
19, -226.41039511561394, 2, 12.748662192999973, 439, 61967,                                             61967, 0.21622508764266968, 19.5768985748291
20, -213.15344182401896, 2, 13.332810331000019, 444, 62411,                                             62411, 0.2439243048429489, 20.223432540893555
21, -255.31713438034058, 2, 13.78140832400004, 472, 62883,                                             62883, 0.2397107034921646, 20.892602920532227
22, -190.13090217113495, 2, 12.95591599599993, 442, 63325,                                             63325, 0.23914314806461334, 21.52274513244629
23, -224.681403324008, 2, 12.746747264000078, 435, 63760,                                             63760, 0.25109779834747314, 22.09471321105957
24, -252.36470848321915, 2, 13.34413281000002, 454, 64214,                                             64214, 0.254551500082016, 22.70569610595703
25, -211.12838942557573, 2, 12.544589544000019, 425, 64639,                                             64639, 0.2510009706020355, 23.298112869262695
26, -237.75957396626472, 2, 13.740371029000016, 473, 65112,                                             65112, 0.25604793429374695, 23.857690811157227
27, -328.1052327603102, 2, 17.760484643000154, 607, 65719,                                             65719, 0.24008367955684662, 24.547168731689453
28, -196.07112303376198, 2, 12.933251616999996, 430, 66149,                                             66149, 0.24994374811649323, 25.20090103149414
29, -179.6954265013337, 2, 13.94598645200017, 477, 66626,                                             66626, 0.2565995752811432, 25.78160285949707
30, -218.7118488997221, 2, 12.553945641000155, 425, 67051,                                             67051, 0.25618088245391846, 26.327123641967773
31, 64.55658003687859, 1, 6.96172268600003, 226, 67277,                                             67277, 0.24525414407253265, 26.72441291809082
32, -202.08179712295532, 2, 9.943156255000076, 335, 67612,                                             67612, 0.2537813186645508, 27.02373695373535
33, -206.13428223133087, 2, 12.928551404000018, 428, 68040,                                             68040, 0.2574409544467926, 27.462562561035156
